Species,Genus,Order,Vore,OrderVore,carni,herbi,insecti,omni,Conservation,conservation_cat,BodyWt,BrainWt,BrainBodyWtRatio,TotalSleep,Awake,NonDreaming,Dreaming,DreamRatio,rem,sws,LifeSpan,Gestation,BodyWt_log,BrainWt_log,BrainBodyWtRatio_log,Dreaming_log,rem_log,sws_log,DreamRatio_log,NonDreaming_log,Awake_log,TotalSleep_log,LifeSpan_log,Gestation_log,Predation,Exposure,Danger,BodyWt_norm,BrainWt_norm,BrainBodyWtRatio_norm,TotalSleep_norm,Awake_norm,NonDreaming_norm,Dreaming_norm,rem_norm,sws_norm,DreamRatio_norm,LifeSpan_norm,Gestation_norm
Common porpoise,Phocoena,Cetacea,carni,Cetacea-carni,1,0,0,0,vu,3,53.18,276.536,5.2,5.6,18.4,4.6,1.0,0.041666666666666664,0.17857142857142858,0.8214285714285714,10.0,315.0,4.028944390416037,3.344841663622291,0.8302029860672502,0.0,0.0,0.0,0.0,0.0,0.0,0.7481880270062004,1.0,2.4983105537896004,1.0,1.0,1.0,0.00799143972906502,0.04838984148771154,6.055209465162674,0.20555555555555555,0.7944444444444444,0.18404907975460122,0.13846153846153847,0.6735966735966736,0.8953739015088709,0.0057692307692307696,0.08163265306122448,0.4786729857819905
Cotton rat,Sigmodon,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.148,1.18,7.972972972972973,11.3,12.7,9.4,1.1,0.04583333333333334,0.09734513274336283,0.831858407079646,5.8999999999999995,31.714285714285715,1.4734577728154463,0.9749719942980689,0.6616898103805966,0.04139268515822508,0.03930636451098981,0.03930636451098981,0.0017246952149260449,0.04139268515822508,0.04139268515822508,1.0530784434834197,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,2.1490848730724924e-05,0.00018207729181037353,8.472317407830534,0.5222222222222223,0.47777777777777775,0.4785276073619633,0.15384615384615385,0.2945990180032733,0.9163294609058872,0.006410256410256411,0.03979591836734693,0.03114421123899797
Cow,Bos,Artiodactyla,herbi,Artiodactyla-herbi,0,1,0,0,domesticated,0,600.0,423.0,0.705,4.0,20.0,3.2,0.7,0.029166666666666664,0.175,0.8,30.0,281.0,5.0813473078041325,3.529430354366986,0.6945855381596036,-0.1549019599857432,-0.25728658641487917,-0.25728658641487917,-0.0064542483327393,-0.1549019599857432,-0.1549019599857432,0.6020599913279624,1.4771212547196624,2.44870631990508,5.0,5.0,5.0,0.09017064184749163,0.07403192655282168,0.8210202903738242,0.11666666666666667,0.8833333333333333,0.098159509202454,0.0923076923076923,0.7912087912087912,0.84136722173532,0.003846153846153846,0.2857142857142857,0.42496050552922593
Deer mouse,Peromyscus,Rodentia,herbi,Rodentia-herbi,0,1,0,0,nt,2,0.021,0.2825139921934442,13.453047247306866,11.5,12.5,9.5,2.0,0.08333333333333333,0.17391304347826086,0.8260869565217391,5.8999999999999995,31.714285714285715,0.6254153521544081,0.3541299491718879,0.5662316218365825,0.3010299956639812,0.2838037226168245,0.2838037226168245,0.012542916485999216,0.3010299956639812,0.3010299956639812,1.0606978403536116,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,2.404570487353838e-06,2.4950540138141374e-05,10.37629808290575,0.5333333333333333,0.4666666666666667,0.48466257668711665,0.29230769230769227,0.548076923076923,0.9087423312883437,0.012179487179487178,0.03979591836734693,0.03114421123899797
Degu,Octodon,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.21,2.8251399219344413,13.453047247306865,7.7,16.3,6.4,0.9,0.0375,0.11688311688311688,0.8311688311688312,5.8999999999999995,31.714285714285715,1.6254153521544081,1.354129949171888,0.8330977970504925,-0.045757490560675115,-0.05161643462403086,-0.05161643462403086,-0.0019065621066947965,-0.045757490560675115,-0.045757490560675115,0.8864907251724818,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,3.080855936922105e-05,0.00047009904338244306,15.25871553254419,0.32222222222222224,0.6777777777777778,0.29447852760736204,0.12307692307692308,0.3819628647214854,0.9138988787814684,0.005128205128205128,0.03979591836734693,0.03114421123899797
Desert hedgehog,Paraechinus,Erinaceomorpha,insecti,Erinaceomorpha-insecti,0,0,1,0,lc,1,0.55,2.4,4.363636363636363,10.3,13.7,7.6,2.7,0.1125,0.2621359223300971,0.7378640776699028,3.5,35.0,2.0435587469147327,1.2833012287035497,0.6279737397522908,0.43136376415898736,0.4258964359100777,0.4258964359100777,0.01797349017329114,0.43136376415898736,0.43136376415898736,1.0128372247051722,0.5440680443502757,1.5440680443502757,2.0,1.0,2.0,8.190568222549011e-05,0.0003956679610494655,4.830775476116216,0.4666666666666667,0.5333333333333333,0.3680981595092025,0.4,0.8571428571428572,0.7887817703768625,0.016666666666666666,0.015306122448979591,0.036334913112164295
Dog,Canis,Carnivora,carni,Carnivora-carni,1,0,0,0,domesticated,0,14.0,70.0,5.0,10.1,13.9,8.4,2.9,0.12083333333333333,0.2871287128712871,0.8316831683168318,22.3875,66.83333333333333,3.449324093098727,2.7481880270062002,0.7967323315616146,0.4623979978989561,0.46040840110511205,0.46040840110511205,0.019266583245789837,0.4623979978989561,0.4623979978989561,1.0043213737826426,1.3500055988570878,1.8249931222365385,1.0,2.0,1.0,0.00210324774815731,0.012230691928723744,5.815145619168857,0.4555555555555555,0.5444444444444445,0.41717791411042954,0.43076923076923074,0.9455909943714822,0.9157563968277723,0.017948717948717947,0.20803571428571427,0.08662453923117429
Domestic cat,Felis,Carnivora,carni,Carnivora-carni,1,0,0,0,domesticated,0,3.3,25.6,7.757575757575759,12.5,11.5,10.9,3.6,0.15,0.28800000000000003,0.872,28.0,63.0,2.821709997298376,2.3113299523037933,0.8191238484878878,0.5563025007672873,0.5071541823578936,0.5071541823578936,0.023179270865303636,0.5563025007672873,0.5563025007672873,1.0969100130080565,1.4471580313422192,1.7993405494535817,1.0,2.0,1.0,0.000495191234739431,0.004457392162973183,9.001355133676098,0.5888888888888889,0.41111111111111115,0.570552147239264,0.5384615384615384,0.9143686502177067,0.9688621368213916,0.022435897435897436,0.2653061224489796,0.08056872037914692
Donkey,Equus,Perissodactyla,herbi,Perissodactyla-herbi,0,1,0,0,domesticated,0,187.0,419.0,2.2406417112299466,3.1,20.9,2.6,0.4,0.016666666666666666,0.12903225806451613,0.8387096774193549,40.0,365.0,4.575037663956988,3.525304009958239,0.770551909928797,-0.3979400086720376,-0.80987185949879,-0.80987185949879,-0.016580833694668232,-0.3979400086720376,-0.3979400086720376,0.4913616938342727,1.6020599913279623,2.5622928644564746,5.0,5.0,5.0,0.028102666142670683,0.07333162927662794,2.609418939268622,0.06666666666666668,0.9333333333333331,0.061349693251533756,0.04615384615384616,0.6923076923076923,0.9202453987730062,0.0019230769230769234,0.3877551020408163,0.5576619273301737
Eastern american chipmunk,Tamias,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.112,1.506741291698369,13.453047247306865,15.8,8.2,13.1,2.7,0.1125,0.17088607594936708,0.8291139240506329,5.8999999999999995,31.714285714285715,1.3524140800906705,1.08112867710815,0.799406552345024,0.43136376415898736,0.3598725347338554,0.3598725347338554,0.01797349017329114,0.43136376415898736,0.43136376415898736,1.1986570869544226,0.7708520116421441,1.501254934436382,4.0,1.0,3.0,1.608056513417879e-05,0.00023928130095947185,14.880154954932905,0.7722222222222223,0.22777777777777775,0.7055214723926382,0.4,0.5179856115107914,0.9136249282782365,0.016666666666666666,0.03979591836734693,0.03114421123899797
Eastern american mole,Scalopus,Soricomorpha,insecti,Soricomorpha-insecti,0,0,1,0,lc,1,0.075,1.2,16.0,8.4,15.6,6.3,2.1,0.08750000000000001,0.25,0.75,3.5,42.0,1.178257320812189,0.9822712330395684,0.8336644429779357,0.3222192947339193,0.34861680835325604,0.34861680835325604,0.013425803947246637,0.3222192947339193,0.3222192947339193,0.9242792860618817,0.5440680443502757,1.6232492903979006,1.0,1.0,1.0,1.051999588217304e-05,0.00018557877819134225,17.640575174161434,0.3611111111111111,0.6388888888888888,0.2883435582822086,0.3076923076923077,0.8520710059171598,0.7984898537045777,0.012820512820512822,0.015306122448979591,0.04739336492890995
European hedgehog,Erinaceus,Erinaceomorpha,omni,Erinaceomorpha-omni,0,0,0,1,lc,1,0.77,3.4999999999999996,4.545454545454545,10.1,13.9,6.6,4.1,0.1708333333333333,0.4059405940594059,0.6534653465346535,6.0,42.0,2.189686782592971,1.4471580313422192,0.6608972766545779,0.6127838567197355,0.6101471826809447,0.6101471826809447,0.025532660696655645,0.6127838567197355,0.6127838567197355,1.0043213737826426,0.7781512503836436,1.6232492903979006,2.0,2.0,2.0,0.00011496852642660538,0.0005882497120027451,5.116615218846674,0.4555555555555555,0.5444444444444445,0.3067484662576688,0.6153846153846153,1.350844277673546,0.6733502917851266,0.025641025641025637,0.04081632653061224,0.04739336492890995
Galago,Galago,Primates,omni,Primates-omni,0,0,0,1,lc,1,0.2,5.0,25.0,9.8,14.2,8.8,1.0,0.041666666666666664,0.1020408163265306,0.8979591836734694,10.4,120.0,1.60422605308447,1.6020599913279623,0.9986497777215729,0.0,0.0,0.0,0.0,0.0,0.0,0.9912260756924949,1.0170333392987803,2.0791812460476247,2.0,2.0,2.0,2.93057028146249e-05,0.0008508611905753994,29.03398003991156,0.4388888888888889,0.5611111111111111,0.4417177914110431,0.13846153846153847,0.31548198636806235,1.0064456006833893,0.0057692307692307696,0.08571428571428572,0.17061611374407584
Genet,Genetta,Carnivora,carni,Carnivora-carni,1,0,0,0,lc,1,2.0,17.5,8.75,6.3,17.7,4.8,1.3,0.05416666666666667,0.20634920634920637,0.7619047619047619,34.0,66.83333333333333,2.60422605308447,2.146128035678238,0.8240943727355557,0.11394335230683679,0.14254669350219618,0.14254669350219618,0.004747639679451533,0.11394335230683679,0.11394335230683679,0.7993405494535817,1.5314789170422551,1.8249931222365385,1.0,2.0,1.0,0.00029981988264193165,0.00303929017868085,10.13705345989548,0.24444444444444446,0.7555555555555555,0.19631901840490798,0.1846153846153846,0.7552447552447551,0.8031232571109871,0.007692307692307692,0.32653061224489793,0.08662453923117429
Giant armadillo,Priodontes,Cingulata,insecti,Cingulata-insecti,0,0,1,0,en,4,60.0,81.0,1.35,18.1,5.9,12.0,6.1,0.25416666666666665,0.33701657458563533,0.6629834254143646,7.0,120.0,4.0813473078041325,2.8115750058705933,0.6888840360374259,0.785329835010767,0.6244280937142083,0.6244280937142083,0.03272207645878196,0.785329835010767,0.785329835010767,1.2576785748691846,0.8450980400142568,2.0791812460476247,1.0,1.0,1.0,0.009016387899299594,0.01415650943825654,1.570086557539992,0.9000000000000001,0.10000000000000003,0.638036809815951,0.9230769230769231,1.0256410256410255,0.7089297886843899,0.038461538461538464,0.05102040816326531,0.17061611374407584
Giraffe,Giraffa,Artiodactyla,herbi,Artiodactyla-herbi,0,1,0,0,vu,3,899.995,680.0,0.7555597531097394,1.9,22.1,1.6,0.3,0.012499999999999999,0.15789473684210525,0.8421052631578948,28.0,400.0,5.2574361541059895,3.73559889969818,0.7105362367131602,-0.5228787452803376,-1.8757739576925498,-1.8757739576925498,-0.021786614386680735,-0.5228787452803376,-0.5228787452803376,0.2787536009528289,1.4471580313422192,2.6020599913279625,5.0,5.0,5.0,0.13525558705709878,0.11902602654826976,0.8800082062267961,0.0,1.0,0.0,0.030769230769230767,inf,,0.001282051282051282,0.2653061224489796,0.6129541864139021
Goat,Capri,Artiodactyla,herbi,Artiodactyla-herbi,0,1,0,0,lc,1,33.5,115.0,3.4328358208955225,5.3,18.7,3.3,0.5,0.020833333333333332,0.09433962264150944,0.6226415094339622,20.0,148.0,3.8282408644573342,2.963787827345555,0.7741905309204419,-0.3010299956639812,-0.4156289175144062,-0.4156289175144062,-0.012542916485999216,-0.3010299956639812,-0.3010299956639812,0.724275869600789,1.3010299956639813,2.1702617153949575,5.0,5.0,5.0,0.0050338180296197995,0.020109036285903367,3.9947880848251853,0.18888888888888888,0.8111111111111111,0.10429447852760737,0.06153846153846154,0.3257918552036199,0.5521472392638037,0.002564102564102564,0.1836734693877551,0.21484992101105846
Golden hamster,Mesocricetus,Rodentia,herbi,Rodentia-herbi,0,1,0,0,en,4,0.12,1.0,8.333333333333334,14.3,9.7,11.0,3.4,0.14166666666666666,0.23776223776223773,0.7692307692307692,3.9,16.0,1.3823773034681137,0.9030899869919435,0.6532876261251308,0.5314789170422551,0.46002106729777087,0.46002106729777087,0.02214495487676063,0.5314789170422551,0.5314789170422551,1.1553360374650619,0.5910646070264992,1.2041199826559248,3.0,1.0,2.0,1.728285037785571e-05,0.00015056391438165502,8.711752465008352,0.6888888888888889,0.3111111111111111,0.5766871165644173,0.5076923076923077,0.7369727047146402,0.8371264595289929,0.02115384615384615,0.019387755102040816,0.00631911532385466
Golden-mantled ground squirrel,Spermophilus,Rodentia,herbi,Rodentia-herbi,0,1,0,0,lc,1,0.205,3.9999999999999996,19.51219512195122,15.9,8.1,10.4,3.4,0.14166666666666666,0.21383647798742136,0.6540880503144654,9.0,28.0,1.6149499184762433,1.5051499783199058,0.9320103125798865,0.5314789170422551,0.4423840429473947,0.4423840429473947,0.02214495487676063,0.5314789170422551,0.5314789170422551,1.2013971243204515,0.9542425094393249,1.4471580313422192,5.0,1.0,3.0,3.0057131091922972e-05,0.0006757868715269632,22.483412321030276,0.7777777777777778,0.2222222222222222,0.539877300613497,0.5076923076923077,0.6527472527472526,0.6941279579316391,0.02115384615384615,0.07142857142857142,0.02527646129541864
Gorilla,Gorilla,Primates,herbi,Primates-herbi,0,1,0,0,cr,5,207.0,406.0,1.961352657004831,12.0,12.0,10.8,1.2,0.049999999999999996,0.09999999999999999,0.9,39.3,252.0,4.619166402877407,3.5116160205691376,0.7602272172705565,0.07918124604762482,0.07337159197087317,0.07337159197087317,0.0032992185853177006,0.07918124604762482,0.07918124604762482,1.0791812460476249,1.5943925503754266,2.401400540781544,1.0,4.0,1.0,0.03110837925186298,0.07105566312899826,2.28413259828517,0.5611111111111111,0.4388888888888889,0.5644171779141106,0.1692307692307692,0.30159939070830155,1.0058920002429694,0.0070512820512820505,0.38061224489795914,0.3791469194312796
Gray hyrax,Heterohyrax,Hyracoidea,herbi,Hyracoidea-herbi,0,1,0,0,lc,1,2.625,12.27,4.674285714285714,6.3,17.7,5.2,0.6,0.024999999999999998,0.09523809523809523,0.8253968253968255,6.75,212.5,2.7223253651624644,1.9919345497189478,0.7317033353946919,-0.2218487496163564,-0.2775397166677071,-0.2775397166677071,-0.009243697900681516,-0.2218487496163564,-0.2218487496163564,0.7993405494535817,0.829303772831025,2.3273589343863303,3.0,2.0,3.0,0.00039374841730419096,0.0021236514900575295,5.393422288773035,0.24444444444444446,0.7555555555555555,0.22085889570552153,0.07692307692307693,0.3146853146853147,0.9035136642498607,0.0032051282051282055,0.04846938775510204,0.3167456556082148
Gray seal,Haliochoerus,Carnivora,carni,Carnivora-carni,1,0,0,0,lc,1,85.0,325.0,3.823529411764706,6.2,17.8,4.7,1.5,0.0625,0.24193548387096772,0.7580645161290323,41.0,310.0,4.2326149831347815,3.4149733479708178,0.8068235267271114,0.17609125905568124,0.22222754401574182,0.22222754401574182,0.007337135793986718,0.17609125905568124,0.17609125905568124,0.7923916894982539,1.6127838567197355,2.4913616938342726,1.0,3.0,1.0,0.012773529285789967,0.056874643286074944,4.452539467643111,0.23888888888888893,0.7611111111111112,0.19018404907975464,0.21538461538461537,0.9016100178890875,0.7961192752175774,0.008974358974358974,0.3979591836734694,0.4707740916271722
Gray wolf,Canis,Carnivora,carni,Carnivora-carni,1,0,0,0,lc,1,36.33,119.49999999999999,3.289292595650977,13.0,11.0,10.8,2.2,0.09166666666666667,0.16923076923076924,0.8307692307692308,16.2,63.0,3.8634614552832036,2.9804578922761,0.771447554679337,0.3424226808222063,0.3073968529127553,0.3073968529127553,0.014267611700925262,0.3424226808222063,0.3424226808222063,1.1139433523068367,1.209515014542631,1.7993405494535817,1.0,1.0,1.0,0.00545912643457051,0.020896870721621327,3.8278781361958623,0.6166666666666667,0.38333333333333336,0.5644171779141106,0.3230769230769231,0.5239085239085239,0.9152710993201794,0.013461538461538462,0.14489795918367346,0.08056872037914692
Greater short-tailed shrew,Blarina,Soricomorpha,omni,Soricomorpha-omni,0,0,0,1,lc,1,0.019,0.29,15.26315789473684,14.9,9.1,12.4,2.3,0.09583333333333333,0.15436241610738252,0.8322147651006712,3.05,21.5,0.5819496583733178,0.3654879848908996,0.6280405523607008,0.36172783601759284,0.3083294151636598,0.3083294151636598,0.015071993167399702,0.36172783601759284,0.36172783601759284,1.173186268412274,0.48429983934678583,1.3324384599156054,4.0,2.0,3.0,2.103999176434608e-06,2.6261147857265404e-05,12.481539038321765,0.7222222222222222,0.2777777777777778,0.6625766871165646,0.3384615384615384,0.46863905325443783,0.9174138744690894,0.014102564102564101,0.010714285714285713,0.015007898894154818
Guinea pig,Cavis,Rodentia,herbi,Rodentia-herbi,0,1,0,0,domesticated,0,0.728,5.5,7.554945054945055,9.4,14.6,7.4,0.8,0.03333333333333333,0.0851063829787234,0.7872340425531915,7.6,68.0,2.1653274367335262,1.6434526764861874,0.7589857536582987,-0.09691001300805639,-0.09958610541212691,-0.09958610541212691,-0.004037917208669016,-0.09691001300805639,-0.09691001300805639,0.9731278535996987,0.8808135922807914,1.8325089127062364,5.0,3.0,4.0,0.00010865652889730155,0.0009383983500996174,8.636373346571373,0.4166666666666667,0.5833333333333334,0.3558282208588958,0.1076923076923077,0.25846153846153846,0.8539877300613499,0.004487179487179488,0.05714285714285714,0.08846761453396525
